_id,edb_id,original_edb_s_type[0],original_edb_us_type[0],original_edb_us_type[1],original_edb_us_type[2],original_edb_us_type[3],original_type_fields.edb_s_type[0],original_type_fields.edb_us_type[0],original_type_fields.edb_us_type[1],original_type_fields.edb_us_type[2],original_type_fields.edb_us_type[3],original_type_fields.cves_5type[0],original_type_fields.cves_5type[1],original_type_fields.cves_5type[2],original_type_fields.cves_5type[3],original_type_fields.cves_5type[4],original_type_fields.cnnvds_5type[0],original_type_fields.cnnvds_5type[1],original_type_fields.cnnvds_5type[2],original_type_fields.cnnvds_5type[3],original_type_fields.cnnvds_5type[4],original_type_fields.nvds_5type[0],original_type_fields.nvds_5type[1],original_type_fields.nvds_5type[2],original_type_fields.nvds_5type[3],original_type_fields.nvds_5type[4],repair_edb_s_type[0],repair_edb_s_type[1],repair_edb_s_type[2],repair_edb_s_type[3],repair_edb_s_type[4],fixed_type,new_fixed_type,ischanged
6a2f98a60de103506951f1b8,43458,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,dos,,,remote,webapps,,,,remote,webapps,dos,,,remote,webapps,dos,,,,remote,0
6a2f98a60de103506951f1b9,43924,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,dos,,,remote,webapps,,,,remote,webapps,dos,,,remote,webapps,dos,,,,remote,0
6a2f98a60de103506951f1ba,43848,webapps,local,webapps,,,webapps,local,webapps,,,local,dos,,,,remote,webapps,dos,,,local,dos,,,,local,webapps,dos,,,,,1
6a2f98a60de103506951f1bb,43103,webapps,remote,webapps,dos,,webapps,remote,webapps,dos,,remote,webapps,dos,,,remote,dos,,,,remote,dos,,,,remote,webapps,dos,,,,,1
6a2f98a60de103506951f1bc,44057,dos,remote,webapps,dos,,dos,remote,webapps,dos,,remote,dos,hardware,,,dos,hardware,,,,remote,dos,,,,remote,dos,hardware,,,,dos,0
6a2f98a60de103506951f1bd,43594,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a60de103506951f1be,43345,local,local,,,,local,local,,,,local,dos,,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
6a2f98a70de103506951f1bf,43337,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a70de103506951f1c0,42299,dos,local,dos,,,dos,local,dos,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,remote,dos,,,,,dos,0
6a2f98a70de103506951f1c1,44064,local,remote,webapps,,,local,remote,webapps,,,remote,local,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,remote,1
6a2f98a70de103506951f1c2,42277,dos,local,,,,dos,local,,,,local,dos,,,,local,,,,,local,dos,,,,local,dos,,,,,local,1
6a2f98a70de103506951f1c3,42278,dos,local,,,,dos,local,,,,local,dos,,,,local,,,,,local,dos,,,,local,dos,,,,,local,1
6a2f98a70de103506951f1c4,42279,dos,local,,,,dos,local,,,,local,,,,,local,,,,,local,,,,,local,,,,,local,local,1
6a2f98a70de103506951f1c5,42303,remote,remote,webapps,,,remote,remote,webapps,,,remote,webapps,,,,remote,webapps,hardware,,,remote,webapps,,,,remote,webapps,,,,,remote,0
6a2f98a70de103506951f1c6,42784,remote,remote,hardware,,,remote,remote,hardware,,,dos,hardware,,,,remote,dos,hardware,,,remote,hardware,,,,remote,dos,hardware,,,,,1
6a2f98a70de103506951f1c7,42434,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,remote,webapps,,,,,webapps,0
6a2f98a70de103506951f1c8,42313,webapps,remote,webapps,,,webapps,remote,webapps,,,remote,webapps,,,,remote,hardware,,,,remote,webapps,,,,remote,webapps,,,,,,1
6a2f98a70de103506951f1c9,45553,local,remote,,,,local,remote,,,,local,webapps,dos,,,local,dos,,,,local,dos,,,,local,dos,,,,,local,0
