_id,edb_id,repair_platform[0],repair_platform[1],repair_platform[2],repair_platform[3],repair_platform[4],repair_platform[5],repair_platform[6],repair_platform[7],repair_platform[8],repair_platform[9],repair_platform[10],repair_platform[11],repair_platform[12],repair_platform[13],repair_platform[14],source_values.EDB_s[0],source_values.EDB_s[1],source_values.EDB_us[0],source_values.EDB_us[1],source_values.EDB_us[2],source_values.EDB_us[3],source_values.EDB_us[4],source_values.EDB_us[5],source_values.EDB_us[6],source_values.EDB_us[7],source_values.EDB_us[8],source_values.EDB_us[9],source_values.EDB_us[10],source_values.EDB_us[11],source_values.EDB_us[12],source_values.EDB_us[13],source_values.EDB_us[14],source_values.EDB_us[15],source_values.EDB_us[16],source_values.EDB_us[17],source_values.EDB_us[18],source_values.EDB_us[19],source_values.EDB_us[20],source_values.EDB_us[21],source_values.EDB_us[22],source_values.EDB_us[23],source_values.EDB_us[24],source_values.EDB_us[25],source_values.EDB_us[26],source_values.EDB_us[27],source_values.EDB_us[28],source_values.CVE_us[0],source_values.CVE_us[1],source_values.CVE_us[2],source_values.CVE_us[3],source_values.CVE_us[4],source_values.CVE_us[5],source_values.CVE_us[6],source_values.CVE_us[7],source_values.CVE_us[8],source_values.CVE_us[9],source_values.CVE_us[10],source_values.CVE_us[11],source_values.CVE_us[12],source_values.CVE_us[13],source_values.CVE_us[14],source_values.CVE_us[15],source_values.CVE_us[16],source_values.CVE_us[17],source_values.CVE_us[18],source_values.CVE_us[19],source_values.CVE_us[20],source_values.CVE_us[21],source_values.CVE_us[22],source_values.CVE_us[23],source_values.CVE_us[24],source_values.CVE_us[25],source_values.CVE_us[26],source_values.CVE_us[27],source_values.CVE_us[28],source_values.CVE_us[29],source_values.CVE_us[30],source_values.CVE_us[31],source_values.CVE_us[32],source_values.CVE_us[33],source_values.CVE_us[34],source_values.CVE_us[35],source_values.CVE_us[36],source_values.CNNVD_us[0],source_values.CNNVD_us[1],source_values.CNNVD_us[2],source_values.CNNVD_us[3],source_values.CNNVD_us[4],source_values.CNNVD_us[5],source_values.CNNVD_us[6],source_values.CNNVD_us[7],source_values.CNNVD_us[8],source_values.CNNVD_us[9],source_values.CNNVD_us[10],source_values.CNNVD_us[11],source_values.CNNVD_us[12],source_values.CNNVD_us[13],source_values.CNNVD_us[14],source_values.NVD_us[0],source_values.NVD_us[1],source_values.NVD_us[2],source_values.NVD_us[3],source_values.NVD_us[4],source_values.NVD_us[5],source_values.NVD_us[6],source_values.NVD_us[7],source_values.NVD_us[8],source_values.NVD_us[9],source_values.NVD_us[10],source_values.NVD_us[11],source_values.NVD_us[12],source_values.NVD_us[13],source_values.NVD_us[14],source_values.NVD_us[15],source_values.NVD_us[16],source_values.NVD_us[17],source_values.NVD_us[18],source_values.NVD_us[19],source_values.NVD_us[20],source_values.NVD_us[21]
6a2f8faa0de103506950db31,19233,solaris,x86,,,,,,,,,,,,,,solaris,,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solaris,x86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solaris,x86,,,,,,,,,,,,,,solaris,x86,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db32,261,sco,unixware,,,,,,,,,,,,,,sco,,sco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sco,unixware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sco,unixware,,,,,,,,,,,,,,sco,unixware,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db33,19620,cgi,perl,,,,,,,,,,,,,,unix,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,perl,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db34,9907,perl,,,,,,,,,,,,,,,cgi,,linux,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,perl,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db35,19069,macos,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macos,,,,,,,,,,,,,,,macos,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db36,19194,asp,,,,,,,,,,,,,,,multiple,,asp,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asp,,,,,,,,,,,,,,,asp,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db37,19346,bsd,solaris,,,,,,,,,,,,,,bsd,,bsd,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,solaris,,,,,,,,,,,,,,bsd,solaris,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db38,19124,solaris,,,,,,,,,,,,,,,linux,,linux,x86,x86-64,,,,,,,,,,,,,,,,,,,,,,,,,,,solaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,solaris,,,,,,,,,,,,,,,solaris,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db39,19696,cgi,,,,,,,,,,,,,,,solaris,,solaris,x86,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db3a,19713,cgi,perl,,,,,,,,,,,,,,cgi,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,perl,,,,,,,,,,,,,,cgi,perl,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db3b,19711,cgi,,,,,,,,,,,,,,,windows,,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db3c,19752,unixware,sco,,,,,,,,,,,,,,sco,,sco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unixware,sco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unixware,,,,,,,,,,,,,,,unixware,sco,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db3d,19781,cgi,,,,,,,,,,,,,,,multiple,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db3e,19788,cgi,irix,,,,,,,,,,,,,,irix,,irix,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,irix,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db3f,19785,cgi,,,,,,,,,,,,,,,unix,,unixware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db40,19761,cgi,,,,,,,,,,,,,,,windows,,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db41,321,linux,,,,,,,,,,,,,,,multiple,,bsd,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db42,19802,linux,,,,,,,,,,,,,,,linux,,linux,unix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db43,19803,linux,,,,,,,,,,,,,,,linux,,unixware,x86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db44,19852,perl,,,,,,,,,,,,,,,cgi,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db45,19957,asp,,,,,,,,,,,,,,,windows,,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asp,,,,,,,,,,,,,,,asp,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db46,19950,aix,bsd,hp-ux,irix,linux,sco,solaris,tru64,unixware,x86,x86-64,,,,,linux,,linux,x86,x86-64,,,,,,,,,,,,,,,,,,,,,,,,,,,aix,alpha,arm,bsd,hp-ux,irix,linux,mips,ppc,sco,solaris,sparc,tru64,unixware,x86,x86-64,,,,,,,,,,,,,,,,,,,,,,bsd,linux,solaris,x86,,,,,,,,,,,,aix,bsd,hp-ux,irix,linux,sco,solaris,tru64,unixware,,,,,,,,,,,,,
6a2f8faa0de103506950db47,396,bsd,,,,,,,,,,,,,,,bsd,,bsd,x86,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,bsd,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db48,20086,cgi,,,,,,,,,,,,,,,windows,,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db49,20072,netware,,,,,,,,,,,,,,,novell,,netware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,netware,novell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,netware,,,,,,,,,,,,,,,netware,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db4a,20073,cgi,perl,,,,,,,,,,,,,,unix,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,cgi,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db4b,20081,java,jsp,,,,,,,,,,,,,,windows,,linux,windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,java,jsp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,java,jsp,,,,,,,,,,,,,,java,jsp,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db4c,20177,perl,,,,,,,,,,,,,,,cgi,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db4d,20132,java,,,,,,,,,,,,,,,multiple,,aix,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,java,jsp,,,,,,,,,,,,,,java,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db4e,20218,perl,,,,,,,,,,,,,,,cgi,,cgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,perl,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db4f,20212,linux,,,,,,,,,,,,,,,unix,,unixware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,
6a2f8faa0de103506950db50,20191,linux,,,,,,,,,,,,,,,bsd,,linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aix,bsd,hp-ux,linux,solaris,unixware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,linux,,,,,,,,,,,,,,,,,,,,,
